ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
BC,102,NW,1,Bechtold (2004),5,7.4251,0.8991,0,0,0,0,0,0,0,5449,42.16,-116.39
PI,106,NW,2,Bechtold (2004),5,4.0181,0.8991,0,0,0,0,0,0,0,5449,42.16,-116.39
SW,119,NW,5,Crookson (2005),1,5.3822,0.57896,-0.19579,0.14875,0,-0.00685,0,0,0,5449,42.16,-116.39
UJ,66,NW,2,Bechtold (2004),5,-4.1599,1.3528,0,-0.0233,0.0633,-0.0423,0,0,0,5449,42.16,-116.39
BS,96,NW,5,Crookson (2005),1,6.7575,0.55048,-0.25204,0.19002,0,-0.00313,0,0,0,5449,42.16,-116.39
WS,94,NW,5,Crookson (2005),1,6.7575,0.55048,-0.25204,0.19002,0,-0.00313,0,0,0,5449,42.16,-116.39
NC,749,NW,2,Bechtold (2004),5,4.1687,1.5355,0,0,0,0.1275,0,0,0,5449,42.16,-116.39
PW,745,NW,2,Bechtold (2004),5,4.1687,1.5355,0,0,0,0.1275,0,0,0,5449,42.16,-116.39
GO,814,NW,2,Bechtold (2004),5,0.3309,0.8918,0,0,0.051,0,0,0,0,5449,42.16,-116.39
AW,803,NW,2,Bechtold (2004),5,0.3309,0.8918,0,0,0.051,0,0,0,0,5449,42.16,-116.39
EM,810,NW,2,Bechtold (2004),5,0.3309,0.8918,0,0,0.051,0,0,0,0,5449,42.16,-116.39
BK,823,NW,2,Bechtold (2004),5,0.3309,0.8918,0,0,0.051,0,0,0,0,5449,42.16,-116.39
SO,843,NW,2,Bechtold (2004),5,0.3309,0.8918,0,0,0.051,0,0,0,0,5449,42.16,-116.39
PB,375,NW,5,Crookson (2005),1,4.7961,0.64167,-0.18695,0.18581,0,0,0,0,0,5449,42.16,-116.39
AJ,63,NW,2,Bechtold (2004),5,-4.1599,1.3528,0,-0.0122,0.0633,-0.0423,0,0,0,5449,42.16,-116.39
RM,66,NW,2,Bechtold (2004),5,-4.1599,1.3528,0,-0.0122,0.0633,-0.0423,0,0,0,5449,42.16,-116.39
OJ,69,NW,2,Bechtold (2004),5,-4.1599,1.3528,0,-0.0122,0.0633,-0.0423,0,0,0,5449,42.16,-116.39
ER,68,NW,2,Bechtold (2004),5,-4.1599,1.3528,0,-0.0122,0.0633,-0.0423,0,0,0,5449,42.16,-116.39
PM,133,NW,2,Bechtold (2004),5,-5.4647,1.966,0,-0.0395,0.0427,-0.0259,0,0,0,5449,42.16,-116.39
PD,134,NW,2,Bechtold (2004),5,-5.4647,1.966,0,-0.0395,0.0427,-0.0259,0,0,0,5449,42.16,-116.39
AZ,143,NW,2,Bechtold (2004),5,-5.4647,1.966,0,-0.0395,0.0427,-0.0259,0,0,0,5449,42.16,-116.39
